Designator,Mid X,Mid Y,Rotation,Layer
D1,45.75254,-10.83,270.0,top
D10,85.25254,-29.58,270.0,top
D11,104.25254,-34.33,270.0,top
D12,123.25254,-34.33,270.0,top
D13,45.75254,-48.83,270.0,top
D14,48.25254,-48.83,270.0,top
D15,66.00254,-46.58,270.0,top
D16,85.25254,-48.83,270.0,top
D17,104.25254,-53.83,270.0,top
D18,123.25254,-53.83,270.0,top
D19,45.80254,-70.08,270.0,top
D2,48.25254,-10.83,270.0,top
D20,48.25254,-70.08,270.0,top
D21,66.00254,-65.58,270.0,top
D22,85.25254,-67.83,270.0,top
D23,104.25254,-72.58,270.0,top
D24,123.25254,-72.58,270.0,top
D25,26.80254,-60.08,270.0,top
D26,29.15928,-85.585092,300.0,top
D27,38.70254,-90.58,270.0,top
D28,56.20254,-85.48,270.0,top
D29,75.70254,-85.48,270.0,top
D3,66.25254,-8.33,270.0,top
D4,85.25254,-10.58,270.0,top
D5,104.25254,-15.58,270.0,top
D6,123.25254,-15.58,270.0,top
D7,45.75254,-32.08,270.0,top
D8,48.25508,-32.03254,270.0,top
D9,66.00254,-27.58,270.0,top
J1,29.2,-41.76,180.0,top
J2,4.025,-7.7375,0.0,top
JP1,21.3,-33.4,90.0,top
JP2,18.8,-33.4,90.0,top
JP3,16.2,-33.4,90.0,top
JP4,13.7,-33.4,90.0,top
JP5,21.3,-33.4,90.0,bottom
JP6,18.8,-33.4,90.0,bottom
JP7,16.2,-33.4,90.0,bottom
JP8,13.7,-33.4,90.0,bottom
OLED,17.51,-38.0,0.0,top
P1,1.7,-23.7,180.0,top
P2,3.9,-23.7,180.0,top
P3,8.023973,-37.993759,90.0,top
R1,1.688035,-19.039272,270.0,top
R2,3.938035,-19.039272,270.0,top
RSW1,2.15,-31.5,270.0,top
SW1,37.5,-13.36,0.0,top
SW10,94.6,-29.96,0.0,top
SW11,113.7,-34.66,0.0,top
SW12,132.7,-36.16,0.0,top
SW13,37.5,-51.46,0.0,top
SW14,56.5,-49.06,0.0,top
SW15,75.6,-47.76,0.0,top
SW16,94.6,-49.06,0.0,top
SW17,113.7,-53.86,0.0,top
SW18,132.7,-55.36,0.0,top
SW19,37.5,-70.46,0.0,top
SW2,56.5,-10.96,0.0,top
SW20,56.5,-68.16,0.0,top
SW21,75.6,-66.76,0.0,top
SW22,94.6,-68.16,0.0,top
SW23,113.7,-72.86,0.0,top
SW24,132.75,-74.36,0.0,top
SW25,18.4,-60.86,0.0,top
SW26,21.939256,-90.204737,300.0,top
SW27,47.0,-89.36,0.0,top
SW28,66.0,-87.11,0.0,top
SW29,85.1,-87.11,0.0,top
SW3,75.6,-9.57,0.0,top
SW4,94.6,-10.96,0.0,top
SW5,113.7,-15.76,0.0,top
SW6,132.7,-17.26,0.0,top
SW7,37.5,-32.46,0.0,top
SW8,56.5,-30.06,0.0,top
SW9,75.6,-28.66,0.0,top
TH1,3.0,-48.0,0.0,top
TH2,25.0,-48.0,0.0,top
TH3,46.6,-22.6,0.0,top
TH4,122.8,-24.8,0.0,top
TH5,46.6,-60.6,0.0,top
TH6,122.8,-63.0,0.0,top
TH7,22.0,-77.8,90.0,top
U1,17.449407,-17.427872,0.0,top
W1,6.0,-23.7,90.0,top
